Nome,classificação,avaliação,Tipo,Categoria,Endereço,tel,cidade
Instituto Viva Bicho Santos,4.6,829,Veterinário,Saúde,R. João Guerra 319,(13) 99611-5779,Santos
Hospital Veterinário 24h Animal Center,4.8,1205,Veterinário,Emergência,Av. Ana Costa 1234,(13) 3234-5678,Santos
Clínica Veterinária Pet Life,4.3,456,Veterinário,Saúde,R. Amador Bueno 567,(13) 98123-4567,Santos
PetShop Mundo Animal,4.5,678,Pet Shop,Animais,Av. Conselheiro Nébias 890,(13) 3345-6789,Santos
Casa de Ração Pet Center,4.1,234,Ração,Alimentos,R. Silva Jardim 123,(13) 99876-5432,Santos
Laboratório VetLab Santos,4.7,345,Laboratório,Exames,Av. Senador Pinheiro Machado 456,(13) 3456-7890,Santos
Clínica Veterinária Bichinho Feliz,4.4,567,Veterinário,Saúde,R. Euclides da Cunha 789,(13) 98765-4321,Santos
Hospital Veterinário Ponta da Praia,4.9,1567,Veterinário,Emergência,Av. Almirante Cochrane 234,(13) 3567-8901,Santos
PetShop Banho e Tosa Santos,4.2,389,Pet Shop,Estética,Av. Vicente de Carvalho 456,(13) 99654-3210,Santos
Clínica Veterinária Aparecida,4.5,890,Veterinário,Saúde,R. Carvalho de Mendonça 678,(13) 3678-9012,Santos
